AÑO;MES;PROVINCIA;VIVIENDAS_TURISTICAS;PLAZAS;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2022;8;Alicante/Alacant;34061;181068;5,32;2,67;56,92
2022;8;Almería;5338;25498;4,78;1,35;43,92
2022;8;Araba/Álava;325;1595;4,91;0,21;51,81
2022;8;Asturias;6110;30391;4,97;1,0;67,61
2022;8;Badajoz;430;2145;4,99;0,12;33,02
2022;8;Barcelona;14807;73079;4,94;0,57;65,09
2022;8;Bizkaia;2074;8181;3,94;0,39;50,5
2022;8;Burgos;710;4484;6,32;0,28;46,68
2022;8;Cantabria;6281;31294;4,98;1,75;75,88
2022;8;Castellón/Castelló;6100;32577;5,34;1,45;53,45
2022;8;Ceuta;51;196;3,84;0,19;22,47
2022;8;Ciudad Real;592;3454;5,83;0,21;54,84
2022;8;Cuenca;702;4285;6,1;0,45;59,3
2022;8;Cáceres;1048;4905;4,68;0,38;52,79
2022;8;Cádiz;13357;66480;4,98;2,16;55,89
2022;8;Córdoba;1827;9613;5,26;0,46;38,81
2022;8;Gipuzkoa;2294;9258;4,04;0,7;57,43
2022;8;Girona;20298;117711;5,8;4,15;127,08
2022;8;Granada;5780;30030;5,2;1,09;80,12
2022;8;Guadalajara;491;3033;6,18;0,28;55,13
2022;8;Huelva;2100;11462;5,46;0,73;45,85
2022;8;Huesca;2183;12118;5,55;1,4;67,92
2022;8;Illes Balears;27038;165436;6,12;4,61;157,52
2022;8;Jaén;748;3792;5,07;0,22;37,64
2022;8;La Rioja;1155;6465;5,6;0,58;65,58
2022;8;Las Palmas;22209;95369;4,29;4,17;52,51
2022;8;León;1124;5883;5,23;0,35;56,52
2022;8;Lleida;2568;15939;6,21;1,05;82,77
2022;8;Lugo;2233;11884;5,32;1,0;57,12
2022;8;Madrid;15763;57667;3,66;0,54;84,64
2022;8;Melilla;41;145;3,54;0,16;26,05
2022;8;Murcia;6133;31927;5,21;0,79;35,42
2022;8;Málaga;35060;179161;5,11;3,91;77,72
2022;8;Navarra;1225;5791;4,73;0,4;85,79
2022;8;Ourense;792;4341;5,48;0,32;51,38
2022;8;Palencia;156;969;6,21;0,14;32,18
2022;8;Pontevedra;6832;36721;5,37;1,4;69,39
2022;8;Salamanca;1198;5800;4,84;0,51;47,53
2022;8;Santa Cruz de Tenerife;18726;77404;4,13;3,68;59,38
2022;8;Segovia;730;5442;7,45;0,59;98,47
2022;8;Sevilla;5913;26239;4,44;0,67;39,36
2022;8;Soria;377;2383;6,32;0,49;54,06
2022;8;Tarragona;11592;67835;5,85;2,2;90,41
2022;8;Teruel;640;3669;5,73;0,57;58,6
2022;8;Toledo;1148;6987;6,09;0,28;74,5
2022;8;Valencia/València;11530;53892;4,67;0,79;51,87
2022;8;Valladolid;462;2248;4,87;0,16;34,44
2022;8;Zamora;422;2319;5,5;0,3;41,58
2022;8;Zaragoza;921;4080;4,43;0,18;33,87
2022;8;Ávila;992;6362;6,41;0,61;79,69
2023;2;A Coruña;5628;29389;5,22;0,87;
2023;2;Albacete;808;4924;6,09;0,37;
2023;2;Alicante/Alacant;33115;175614;5,3;2,6;
2023;2;Almería;5148;24710;4,8;1,3;
2023;2;Araba/Álava;332;1577;4,75;0,21;
2023;2;Asturias;5810;28957;4,98;0,95;
2023;2;Badajoz;462;2318;5,02;0,12;
2023;2;Barcelona;14188;70802;4,99;0,55;
2023;2;Bizkaia;2064;8176;3,96;0,39;
2023;2;Burgos;720;4491;6,24;0,28;
2023;2;Cantabria;5701;28658;5,03;1,59;
2023;2;Castellón/Castelló;5527;29344;5,31;1,31;
2023;2;Ceuta;43;167;3,88;0,16;
2023;2;Ciudad Real;629;3679;5,85;0,22;
2023;2;Cuenca;749;4440;5,93;0,48;
2023;2;Cáceres;1058;5010;4,74;0,38;
2023;2;Cádiz;12424;61904;4,98;2,01;
2023;2;Córdoba;2006;10515;5,24;0,51;
2023;2;Gipuzkoa;1957;8464;4,32;0,6;
2023;2;Girona;18498;106090;5,74;3,78;
2023;2;Granada;6380;32708;5,13;1,2;
2023;2;Guadalajara;489;3011;6,16;0,28;
2023;2;Huelva;1961;10593;5,4;0,68;
2023;2;Huesca;2241;12277;5,48;1,44;
2023;2;Illes Balears;25393;156841;6,18;4,33;
2023;2;Jaén;763;3944;5,17;0,22;
2023;2;La Rioja;1105;6156;5,57;0,56;
2023;2;Las Palmas;23161;99314;4,29;4,35;
2023;2;León;1128;5854;5,19;0,35;
2023;2;Lleida;2669;16206;6,07;1,09;
2023;2;Lugo;2064;10848;5,26;0,92;
2023;2;Madrid;16351;60396;3,69;0,56;
2023;2;Melilla;55;201;3,65;0,21;
2023;2;Murcia;6288;32636;5,19;0,81;
2023;2;Málaga;35360;179640;5,08;3,94;
2023;2;Navarra;1236;5895;4,77;0,4;
2023;2;Ourense;790;4224;5,35;0,32;
2023;2;Palencia;167;1011;6,05;0,15;
2023;2;Pontevedra;6293;33608;5,34;1,29;
2023;2;Salamanca;1184;5808;4,91;0,5;
2023;2;Santa Cruz de Tenerife;19490;80684;4,14;3,83;
2023;2;Segovia;737;5449;7,39;0,59;
2023;2;Sevilla;6152;26997;4,39;0,7;
2023;2;Soria;363;2312;6,37;0,47;
2023;2;Tarragona;10354;60433;5,84;1,97;
2023;2;Teruel;643;3648;5,67;0,57;
2023;2;Toledo;1216;7499;6,17;0,29;
2023;2;Valencia/València;11308;52348;4,63;0,78;
2023;2;Valladolid;505;2427;4,81;0,18;
2023;2;Zamora;411;2304;5,61;0,3;
2023;2;Zaragoza;996;4399;4,42;0,2;
2023;2;Ávila;1016;6468;6,37;0,62;
2023;8;A Coruña;6694;35305;5,27;0,97;
2023;8;Albacete;882;5295;6,0;0,37;
2023;8;Alicante/Alacant;37962;201492;5,31;2,81;
2023;8;Almería;6460;30887;4,78;1,49;
2023;8;Araba/Álava;320;1621;5,07;0,19;
2023;8;Asturias;7036;35015;4,98;1,04;
2023;8;Badajoz;493;2577;5,23;0,12;
2023;8;Barcelona;14713;75645;5,14;0,57;
2023;8;Bizkaia;2545;10403;4,09;0,46;
2023;8;Burgos;779;4796;6,16;0,3;
2023;8;Cantabria;6920;34994;5,06;1,8;
2023;8;Castellón/Castelló;7020;37561;5,35;1,58;
2023;8;Ceuta;47;182;3,87;0,17;
2023;8;Ciudad Real;641;3792;5,92;0,2;
2023;8;Cuenca;785;4607;5,87;0,51;
2023;8;Cáceres;1099;5267;4,79;0,37;
2023;8;Cádiz;14894;74506;5,0;2,3;
2023;8;Córdoba;2250;11730;5,21;0,54;
2023;8;Gipuzkoa;2256;9815;4,35;0,64;
2023;8;Girona;21632;122515;5,66;4,27;
2023;8;Granada;6601;34017;5,15;1,15;
2023;8;Guadalajara;522;3189;6,11;0,32;
2023;8;Huelva;2456;13099;5,33;0,77;
2023;8;Huesca;2366;13131;5,55;1,4;
2023;8;Illes Balears;26507;165717;6,25;4,06;
2023;8;Jaén;864;4430;5,13;0,23;
2023;8;La Rioja;1228;6963;5,67;0,6;
2023;8;Las Palmas;24062;104014;4,32;4,37;
2023;8;León;1226;6427;5,24;0,35;
2023;8;Lleida;2783;16945;6,09;1,09;
2023;8;Lugo;2558;13391;5,23;0,95;
2023;8;Madrid;16970;64811;3,82;0,57;
2023;8;Melilla;54;218;4,04;0,18;
2023;8;Murcia;6952;36144;5,2;0,82;
2023;8;Málaga;39041;197849;5,07;3,92;
2023;8;Navarra;1340;6601;4,93;0,41;
